id,date,terminal,hour,passenger_count
1,2024-01-01,A,6,151
2,2024-01-01,A,7,399
3,2024-01-01,A,8,428
4,2024-01-01,A,9,424
5,2024-01-01,A,10,238
6,2024-01-01,A,11,234
7,2024-01-01,A,12,117
8,2024-01-01,A,13,207
9,2024-01-01,A,14,180
10,2024-01-01,A,15,235
11,2024-01-01,A,16,218
12,2024-01-01,A,17,327
13,2024-01-01,A,18,311
14,2024-01-01,A,19,364
15,2024-01-01,A,20,261
16,2024-01-01,A,21,162
17,2024-01-01,A,22,164
18,2024-01-01,B,6,209
19,2024-01-01,B,7,429
20,2024-01-01,B,8,362
21,2024-01-01,B,9,308
22,2024-01-01,B,10,175
23,2024-01-01,B,11,208
24,2024-01-01,B,12,209
25,2024-01-01,B,13,171
26,2024-01-01,B,14,174
27,2024-01-01,B,15,160
28,2024-01-01,B,16,365
29,2024-01-01,B,17,286
30,2024-01-01,B,18,301
31,2024-01-01,B,19,300
32,2024-01-01,B,20,135
33,2024-01-01,B,21,165
34,2024-01-01,B,22,249
35,2024-01-01,C,6,151
36,2024-01-01,C,7,321
37,2024-01-01,C,8,306
38,2024-01-01,C,9,356
39,2024-01-01,C,10,275
40,2024-01-01,C,11,194
41,2024-01-01,C,12,202
42,2024-01-01,C,13,168
43,2024-01-01,C,14,197
44,2024-01-01,C,15,249
45,2024-01-01,C,16,325
46,2024-01-01,C,17,405
47,2024-01-01,C,18,370
48,2024-01-01,C,19,316
49,2024-01-01,C,20,195
50,2024-01-01,C,21,265
51,2024-01-01,C,22,205
52,2024-01-01,D,6,256
53,2024-01-01,D,7,440
54,2024-01-01,D,8,351
55,2024-01-01,D,9,374
56,2024-01-01,D,10,239
57,2024-01-01,D,11,230
58,2024-01-01,D,12,230
59,2024-01-01,D,13,146
60,2024-01-01,D,14,166
61,2024-01-01,D,15,180
62,2024-01-01,D,16,368
63,2024-01-01,D,17,270
64,2024-01-01,D,18,380
65,2024-01-01,D,19,351
66,2024-01-01,D,20,246
67,2024-01-01,D,21,162
68,2024-01-01,D,22,202
69,2024-01-01,E,6,211
70,2024-01-01,E,7,370
71,2024-01-01,E,8,371
72,2024-01-01,E,9,348
73,2024-01-01,E,10,205
74,2024-01-01,E,11,241
75,2024-01-01,E,12,153
76,2024-01-01,E,13,261
77,2024-01-01,E,14,239
78,2024-01-01,E,15,161
79,2024-01-01,E,16,335
80,2024-01-01,E,17,356
81,2024-01-01,E,18,270
82,2024-01-01,E,19,321
83,2024-01-01,E,20,196
84,2024-01-01,E,21,174
85,2024-01-01,E,22,203
86,2024-01-01,F,6,175
87,2024-01-01,F,7,414
88,2024-01-01,F,8,334
89,2024-01-01,F,9,391
90,2024-01-01,F,10,133
91,2024-01-01,F,11,193
92,2024-01-01,F,12,200
93,2024-01-01,F,13,192
94,2024-01-01,F,14,184
95,2024-01-01,F,15,173
96,2024-01-01,F,16,350
97,2024-01-01,F,17,359
98,2024-01-01,F,18,316
99,2024-01-01,F,19,276
100,2024-01-01,F,20,271
101,2024-01-01,F,21,164
102,2024-01-01,F,22,141
103,2024-01-02,A,6,119
104,2024-01-02,A,7,363
105,2024-01-02,A,8,351
106,2024-01-02,A,9,401
107,2024-01-02,A,10,224
108,2024-01-02,A,11,211
109,2024-01-02,A,12,189
110,2024-01-02,A,13,244
111,2024-01-02,A,14,274
112,2024-01-02,A,15,240
113,2024-01-02,A,16,301
114,2024-01-02,A,17,351
115,2024-01-02,A,18,303
116,2024-01-02,A,19,275
117,2024-01-02,A,20,164
118,2024-01-02,A,21,185
119,2024-01-02,A,22,204
120,2024-01-02,B,6,282
121,2024-01-02,B,7,324
122,2024-01-02,B,8,412
123,2024-01-02,B,9,347
124,2024-01-02,B,10,119
125,2024-01-02,B,11,179
126,2024-01-02,B,12,247
127,2024-01-02,B,13,213
128,2024-01-02,B,14,216
129,2024-01-02,B,15,253
130,2024-01-02,B,16,278
131,2024-01-02,B,17,277
132,2024-01-02,B,18,229
133,2024-01-02,B,19,355
134,2024-01-02,B,20,222
135,2024-01-02,B,21,228
136,2024-01-02,B,22,152
137,2024-01-02,C,6,135
138,2024-01-02,C,7,307
139,2024-01-02,C,8,323
140,2024-01-02,C,9,422
141,2024-01-02,C,10,240
142,2024-01-02,C,11,181
143,2024-01-02,C,12,211
144,2024-01-02,C,13,172
145,2024-01-02,C,14,214
146,2024-01-02,C,15,154
147,2024-01-02,C,16,350
148,2024-01-02,C,17,286
149,2024-01-02,C,18,352
150,2024-01-02,C,19,302
151,2024-01-02,C,20,168
152,2024-01-02,C,21,264
153,2024-01-02,C,22,207
154,2024-01-02,D,6,187
155,2024-01-02,D,7,390
156,2024-01-02,D,8,306
157,2024-01-02,D,9,404
158,2024-01-02,D,10,194
159,2024-01-02,D,11,224
160,2024-01-02,D,12,138
161,2024-01-02,D,13,184
162,2024-01-02,D,14,200
163,2024-01-02,D,15,241
164,2024-01-02,D,16,347
165,2024-01-02,D,17,304
166,2024-01-02,D,18,332
167,2024-01-02,D,19,370
168,2024-01-02,D,20,192
169,2024-01-02,D,21,187
170,2024-01-02,D,22,124
171,2024-01-02,E,6,188
172,2024-01-02,E,7,290
173,2024-01-02,E,8,355
174,2024-01-02,E,9,399
175,2024-01-02,E,10,115
176,2024-01-02,E,11,249
177,2024-01-02,E,12,186
178,2024-01-02,E,13,198
179,2024-01-02,E,14,179
180,2024-01-02,E,15,131
181,2024-01-02,E,16,288
182,2024-01-02,E,17,403
183,2024-01-02,E,18,276
184,2024-01-02,E,19,256
185,2024-01-02,E,20,205
186,2024-01-02,E,21,196
187,2024-01-02,E,22,187
188,2024-01-02,F,6,200
189,2024-01-02,F,7,385
190,2024-01-02,F,8,336
191,2024-01-02,F,9,367
192,2024-01-02,F,10,240
193,2024-01-02,F,11,160
194,2024-01-02,F,12,107
195,2024-01-02,F,13,226
196,2024-01-02,F,14,300
197,2024-01-02,F,15,199
198,2024-01-02,F,16,328
199,2024-01-02,F,17,308
200,2024-01-02,F,18,383
201,2024-01-02,F,19,316
202,2024-01-02,F,20,192
203,2024-01-02,F,21,236
204,2024-01-02,F,22,180
205,2024-01-03,A,6,148
206,2024-01-03,A,7,395
207,2024-01-03,A,8,336
208,2024-01-03,A,9,320
209,2024-01-03,A,10,284
210,2024-01-03,A,11,192
211,2024-01-03,A,12,219
212,2024-01-03,A,13,201
213,2024-01-03,A,14,164
214,2024-01-03,A,15,227
215,2024-01-03,A,16,332
216,2024-01-03,A,17,293
217,2024-01-03,A,18,337
218,2024-01-03,A,19,299
219,2024-01-03,A,20,155
220,2024-01-03,A,21,151
221,2024-01-03,A,22,210
222,2024-01-03,B,6,184
223,2024-01-03,B,7,420
224,2024-01-03,B,8,358
225,2024-01-03,B,9,328
226,2024-01-03,B,10,206
227,2024-01-03,B,11,148
228,2024-01-03,B,12,196
229,2024-01-03,B,13,212
230,2024-01-03,B,14,207
231,2024-01-03,B,15,252
232,2024-01-03,B,16,423
233,2024-01-03,B,17,346
234,2024-01-03,B,18,367
235,2024-01-03,B,19,421
236,2024-01-03,B,20,159
237,2024-01-03,B,21,205
238,2024-01-03,B,22,180
239,2024-01-03,C,6,233
240,2024-01-03,C,7,370
241,2024-01-03,C,8,327
242,2024-01-03,C,9,360
243,2024-01-03,C,10,241
244,2024-01-03,C,11,147
245,2024-01-03,C,12,168
