id,date,terminal,hour,wait_time_minutes
1,2024-01-01,A,6,11.0
2,2024-01-01,A,7,50.9
3,2024-01-01,A,8,39.2
4,2024-01-01,A,9,53.5
5,2024-01-01,A,10,19.4
6,2024-01-01,A,11,14.7
7,2024-01-01,A,12,9.1
8,2024-01-01,A,13,14.9
9,2024-01-01,A,14,14.7
10,2024-01-01,A,15,19.0
11,2024-01-01,A,16,19.5
12,2024-01-01,A,17,34.8
13,2024-01-01,A,18,37.8
14,2024-01-01,A,19,45.3
15,2024-01-01,A,20,19.7
16,2024-01-01,A,21,13.8
17,2024-01-01,A,22,13.6
18,2024-01-01,B,6,16.6
19,2024-01-01,B,7,51.4
20,2024-01-01,B,8,34.9
21,2024-01-01,B,9,34.5
22,2024-01-01,B,10,10.6
23,2024-01-01,B,11,16.5
24,2024-01-01,B,12,20.3
25,2024-01-01,B,13,13.0
26,2024-01-01,B,14,16.7
27,2024-01-01,B,15,12.2
28,2024-01-01,B,16,34.2
29,2024-01-01,B,17,35.2
30,2024-01-01,B,18,36.1
31,2024-01-01,B,19,45.3
32,2024-01-01,B,20,9.2
33,2024-01-01,B,21,13.9
34,2024-01-01,B,22,21.1
35,2024-01-01,C,6,14.0
36,2024-01-01,C,7,38.8
37,2024-01-01,C,8,32.8
38,2024-01-01,C,9,33.5
39,2024-01-01,C,10,23.1
40,2024-01-01,C,11,16.4
41,2024-01-01,C,12,17.7
42,2024-01-01,C,13,12.9
43,2024-01-01,C,14,16.4
44,2024-01-01,C,15,15.3
45,2024-01-01,C,16,30.8
46,2024-01-01,C,17,51.7
47,2024-01-01,C,18,42.6
48,2024-01-01,C,19,37.9
49,2024-01-01,C,20,14.2
50,2024-01-01,C,21,18.9
51,2024-01-01,C,22,15.4
52,2024-01-01,D,6,21.2
53,2024-01-01,D,7,54.4
54,2024-01-01,D,8,37.8
55,2024-01-01,D,9,31.5
56,2024-01-01,D,10,20.3
57,2024-01-01,D,11,19.1
58,2024-01-01,D,12,19.7
59,2024-01-01,D,13,13.2
60,2024-01-01,D,14,14.8
61,2024-01-01,D,15,17.3
62,2024-01-01,D,16,41.4
63,2024-01-01,D,17,28.3
64,2024-01-01,D,18,49.2
65,2024-01-01,D,19,44.7
66,2024-01-01,D,20,19.0
67,2024-01-01,D,21,15.1
68,2024-01-01,D,22,16.3
69,2024-01-01,E,6,20.1
70,2024-01-01,E,7,52.2
71,2024-01-01,E,8,58.0
72,2024-01-01,E,9,39.3
73,2024-01-01,E,10,19.9
74,2024-01-01,E,11,21.7
75,2024-01-01,E,12,14.0
76,2024-01-01,E,13,22.2
77,2024-01-01,E,14,21.8
78,2024-01-01,E,15,10.2
79,2024-01-01,E,16,37.4
80,2024-01-01,E,17,36.0
81,2024-01-01,E,18,26.9
82,2024-01-01,E,19,28.2
83,2024-01-01,E,20,14.4
84,2024-01-01,E,21,13.6
85,2024-01-01,E,22,16.7
86,2024-01-01,F,6,14.0
87,2024-01-01,F,7,53.7
88,2024-01-01,F,8,32.4
89,2024-01-01,F,9,31.0
90,2024-01-01,F,10,11.5
91,2024-01-01,F,11,15.3
92,2024-01-01,F,12,15.8
93,2024-01-01,F,13,13.7
94,2024-01-01,F,14,16.7
95,2024-01-01,F,15,13.0
96,2024-01-01,F,16,34.0
97,2024-01-01,F,17,50.3
98,2024-01-01,F,18,39.1
99,2024-01-01,F,19,30.7
100,2024-01-01,F,20,13.7
101,2024-01-01,F,21,12.7
102,2024-01-01,F,22,11.2
103,2024-01-02,A,6,11.6
104,2024-01-02,A,7,30.0
105,2024-01-02,A,8,48.5
106,2024-01-02,A,9,47.9
107,2024-01-02,A,10,14.7
108,2024-01-02,A,11,19.2
109,2024-01-02,A,12,14.6
110,2024-01-02,A,13,14.7
111,2024-01-02,A,14,20.5
112,2024-01-02,A,15,19.9
113,2024-01-02,A,16,34.0
114,2024-01-02,A,17,43.1
115,2024-01-02,A,18,39.5
116,2024-01-02,A,19,25.7
117,2024-01-02,A,20,13.1
118,2024-01-02,A,21,13.4
119,2024-01-02,A,22,13.3
120,2024-01-02,B,6,22.4
121,2024-01-02,B,7,38.6
122,2024-01-02,B,8,49.5
123,2024-01-02,B,9,36.6
124,2024-01-02,B,10,8.1
125,2024-01-02,B,11,12.9
126,2024-01-02,B,12,14.2
127,2024-01-02,B,13,14.0
128,2024-01-02,B,14,14.4
129,2024-01-02,B,15,22.8
130,2024-01-02,B,16,35.1
131,2024-01-02,B,17,40.9
132,2024-01-02,B,18,26.6
133,2024-01-02,B,19,36.9
134,2024-01-02,B,20,17.8
135,2024-01-02,B,21,17.8
136,2024-01-02,B,22,11.0
137,2024-01-02,C,6,11.3
138,2024-01-02,C,7,35.4
139,2024-01-02,C,8,35.7
140,2024-01-02,C,9,45.2
141,2024-01-02,C,10,21.0
142,2024-01-02,C,11,13.3
143,2024-01-02,C,12,15.9
144,2024-01-02,C,13,14.7
145,2024-01-02,C,14,19.7
146,2024-01-02,C,15,14.0
147,2024-01-02,C,16,37.7
148,2024-01-02,C,17,26.0
149,2024-01-02,C,18,37.7
150,2024-01-02,C,19,34.2
151,2024-01-02,C,20,11.2
152,2024-01-02,C,21,20.1
153,2024-01-02,C,22,19.6
154,2024-01-02,D,6,15.3
155,2024-01-02,D,7,40.1
156,2024-01-02,D,8,34.4
157,2024-01-02,D,9,45.8
158,2024-01-02,D,10,14.7
159,2024-01-02,D,11,20.0
160,2024-01-02,D,12,8.0
161,2024-01-02,D,13,15.8
162,2024-01-02,D,14,14.6
163,2024-01-02,D,15,22.3
164,2024-01-02,D,16,31.4
165,2024-01-02,D,17,38.8
166,2024-01-02,D,18,32.8
167,2024-01-02,D,19,43.4
168,2024-01-02,D,20,14.3
169,2024-01-02,D,21,17.5
170,2024-01-02,D,22,9.6
171,2024-01-02,E,6,13.4
172,2024-01-02,E,7,39.3
173,2024-01-02,E,8,38.1
174,2024-01-02,E,9,48.2
175,2024-01-02,E,10,10.5
176,2024-01-02,E,11,17.3
177,2024-01-02,E,12,15.8
178,2024-01-02,E,13,17.2
179,2024-01-02,E,14,11.0
180,2024-01-02,E,15,11.0
181,2024-01-02,E,16,30.5
182,2024-01-02,E,17,56.1
183,2024-01-02,E,18,34.9
184,2024-01-02,E,19,30.6
185,2024-01-02,E,20,11.4
186,2024-01-02,E,21,16.7
187,2024-01-02,E,22,13.3
188,2024-01-02,F,6,18.1
189,2024-01-02,F,7,42.1
190,2024-01-02,F,8,34.7
191,2024-01-02,F,9,38.4
192,2024-01-02,F,10,18.1
193,2024-01-02,F,11,10.2
194,2024-01-02,F,12,7.0
195,2024-01-02,F,13,17.2
196,2024-01-02,F,14,29.6
197,2024-01-02,F,15,17.6
198,2024-01-02,F,16,41.2
199,2024-01-02,F,17,40.7
200,2024-01-02,F,18,44.7
201,2024-01-02,F,19,33.0
202,2024-01-02,F,20,14.4
203,2024-01-02,F,21,16.5
204,2024-01-02,F,22,16.2
205,2024-01-03,A,6,10.2
206,2024-01-03,A,7,58.1
207,2024-01-03,A,8,32.5
208,2024-01-03,A,9,42.4
209,2024-01-03,A,10,26.9
210,2024-01-03,A,11,16.8
211,2024-01-03,A,12,21.8
212,2024-01-03,A,13,15.6
213,2024-01-03,A,14,13.4
214,2024-01-03,A,15,18.8
215,2024-01-03,A,16,40.5
216,2024-01-03,A,17,23.9
217,2024-01-03,A,18,37.1
218,2024-01-03,A,19,37.8
219,2024-01-03,A,20,11.7
220,2024-01-03,A,21,15.6
221,2024-01-03,A,22,17.1
222,2024-01-03,B,6,15.9
223,2024-01-03,B,7,58.0
224,2024-01-03,B,8,40.9
225,2024-01-03,B,9,45.2
226,2024-01-03,B,10,17.9
227,2024-01-03,B,11,12.9
228,2024-01-03,B,12,13.6
229,2024-01-03,B,13,19.8
230,2024-01-03,B,14,15.1
231,2024-01-03,B,15,19.6
232,2024-01-03,B,16,56.3
233,2024-01-03,B,17,36.6
234,2024-01-03,B,18,43.2
235,2024-01-03,B,19,46.8
236,2024-01-03,B,20,12.7
237,2024-01-03,B,21,16.0
238,2024-01-03,B,22,12.2
239,2024-01-03,C,6,20.2
240,2024-01-03,C,7,45.4
241,2024-01-03,C,8,33.4
242,2024-01-03,C,9,37.6
243,2024-01-03,C,10,21.9
244,2024-01-03,C,11,11.3
245,2024-01-03,C,12,13.6
246,2024-01-03,C,13,11.2
247,2024-01-03,C,14,16.9
248,2024-01-03,C,15,17.3
249,2024-01-03,C,16,24.3
250,2024-01-03,C,17,32.0
251,2024-01-03,C,18,35.8
252,2024-01-03,C,19,32.3
253,2024-01-03,C,20,15.8
254,2024-01-03,C,21,15.9
255,2024-01-03,C,22,19.3
256,2024-01-03,D,6,21.8
257,2024-01-03,D,7,40.2
258,2024-01-03,D,8,32.2
259,2024-01-03,D,9,35.9
260,2024-01-03,D,10,15.5
261,2024-01-03,D,11,15.2
262,2024-01-03,D,12,19.4
263,2024-01-03,D,13,18.9
264,2024-01-03,D,14,16.3
265,2024-01-03,D,15,11.1
266,2024-01-03,D,16,33.2
267,2024-01-03,D,17,37.6
268,2024-01-03,D,18,36.4
269,2024-01-03,D,19,13.7
270,2024-01-03,D,20,13.5
271,2024-01-03,D,21,15.7
272,2024-01-03,D,22,11.4
273,2024-01-03,E,6,5.0
274,2024-01-03,E,7,28.6
275,2024-01-03,E,8,33.3
276,2024-01-03,E,9,39.1
277,2024-01-03,E,10,10.3
278,2024-01-03,E,11,14.3
279,2024-01-03,E,12,21.3
280,2024-01-03,E,13,21.1
281,2024-01-03,E,14,19.4
282,2024-01-03,E,15,13.4
283,2024-01-03,E,16,36.1
284,2024-01-03,E,17,27.9
285,2024-01-03,E,18,31.4
286,2024-01-03,E,19,30.8
287,2024-01-03,E,20,19.5
288,2024-01-03,E,21,25.0
289,2024-01-03,E,22,17.3
290,2024-01-03,F,6,15.1
291,2024-01-03,F,7,22.8
292,2024-01-03,F,8,42.8
293,2024-01-03,F,9,45.8
294,2024-01-03,F,10,22.1
295,2024-01-03,F,11,15.9
296,2024-01-03,F,12,17.6
297,2024-01-03,F,13,18.5
298,2024-01-03,F,14,15.9
299,2024-01-03,F,15,18.0
300,2024-01-03,F,16,29.5
301,2024-01-03,F,17,46.7
302,2024-01-03,F,18,49.6
303,2024-01-03,F,19,18.4
304,2024-01-03,F,20,21.9
305,2024-01-03,F,21,14.7
306,2024-01-03,F,22,14.7
307,2024-01-04,A,6,9.5
308,2024-01-04,A,7,43.8
309,2024-01-04,A,8,41.1
310,2024-01-04,A,9,36.7
311,2024-01-04,A,10,20.6
312,2024-01-04,A,11,15.9
313,2024-01-04,A,12,18.8
314,2024-01-04,A,13,11.0
315,2024-01-04,A,14,15.5
316,2024-01-04,A,15,16.6
317,2024-01-04,A,16,43.7
318,2024-01-04,A,17,34.2
319,2024-01-04,A,18,32.7
320,2024-01-04,A,19,29.1
321,2024-01-04,A,20,11.4
322,2024-01-04,A,21,15.2
323,2024-01-04,A,22,12.5
324,2024-01-04,B,6,9.7
325,2024-01-04,B,7,34.5
326,2024-01-04,B,8,55.4
327,2024-01-04,B,9,27.3
328,2024-01-04,B,10,23.0
329,2024-01-04,B,11,13.1
330,2024-01-04,B,12,25.5
331,2024-01-04,B,13,21.7
332,2024-01-04,B,14,14.4
333,2024-01-04,B,15,9.5
334,2024-01-04,B,16,35.6
335,2024-01-04,B,17,32.0
336,2024-01-04,B,18,54.3
337,2024-01-04,B,19,31.0
338,2024-01-04,B,20,18.2
339,2024-01-04,B,21,25.9
340,2024-01-04,B,22,14.2
341,2024-01-04,C,6,17.4
342,2024-01-04,C,7,38.5
343,2024-01-04,C,8,44.2
344,2024-01-04,C,9,51.2
345,2024-01-04,C,10,11.8
346,2024-01-04,C,11,16.6
347,2024-01-04,C,12,17.0
348,2024-01-04,C,13,21.3
349,2024-01-04,C,14,18.5
350,2024-01-04,C,15,17.6
351,2024-01-04,C,16,45.7
352,2024-01-04,C,17,38.0
353,2024-01-04,C,18,30.5
354,2024-01-04,C,19,43.1
355,2024-01-04,C,20,16.0
356,2024-01-04,C,21,12.2
357,2024-01-04,C,22,14.8
358,2024-01-04,D,6,15.9
359,2024-01-04,D,7,43.5
360,2024-01-04,D,8,35.9
361,2024-01-04,D,9,18.4
362,2024-01-04,D,10,15.3
363,2024-01-04,D,11,17.7
364,2024-01-04,D,12,10.9
365,2024-01-04,D,13,14.0
366,2024-01-04,D,14,19.7
