date,terminal,hour,passenger_count
2024-01-01,A,6,151
2024-01-01,A,7,399
2024-01-01,A,8,428
2024-01-01,A,9,424
2024-01-01,A,10,238
2024-01-01,A,11,234
2024-01-01,A,12,117
2024-01-01,A,13,207
2024-01-01,A,14,180
2024-01-01,A,15,235
2024-01-01,A,16,218
2024-01-01,A,17,327
2024-01-01,A,18,311
2024-01-01,A,19,364
2024-01-01,A,20,261
2024-01-01,A,21,162
2024-01-01,A,22,164
2024-01-01,B,6,209
2024-01-01,B,7,429
2024-01-01,B,8,362
2024-01-01,B,9,308
2024-01-01,B,10,175
2024-01-01,B,11,208
2024-01-01,B,12,209
2024-01-01,B,13,171
2024-01-01,B,14,174
2024-01-01,B,15,160
2024-01-01,B,16,365
2024-01-01,B,17,286
2024-01-01,B,18,301
2024-01-01,B,19,300
2024-01-01,B,20,135
2024-01-01,B,21,165
2024-01-01,B,22,249
2024-01-01,C,6,151
2024-01-01,C,7,321
2024-01-01,C,8,306
2024-01-01,C,9,356
2024-01-01,C,10,275
2024-01-01,C,11,194
2024-01-01,C,12,202
2024-01-01,C,13,168
2024-01-01,C,14,197
2024-01-01,C,15,249
2024-01-01,C,16,325
2024-01-01,C,17,405
2024-01-01,C,18,370
2024-01-01,C,19,316
2024-01-01,C,20,195
2024-01-01,C,21,265
2024-01-01,C,22,205
2024-01-01,D,6,256
2024-01-01,D,7,440
2024-01-01,D,8,351
2024-01-01,D,9,374
2024-01-01,D,10,239
2024-01-01,D,11,230
2024-01-01,D,12,230
2024-01-01,D,13,146
2024-01-01,D,14,166
2024-01-01,D,15,180
2024-01-01,D,16,368
2024-01-01,D,17,270
2024-01-01,D,18,380
2024-01-01,D,19,351
2024-01-01,D,20,246
2024-01-01,D,21,162
2024-01-01,D,22,202
2024-01-01,E,6,211
2024-01-01,E,7,370
2024-01-01,E,8,371
2024-01-01,E,9,348
2024-01-01,E,10,205
2024-01-01,E,11,241
2024-01-01,E,12,153
2024-01-01,E,13,261
2024-01-01,E,14,239
2024-01-01,E,15,161
2024-01-01,E,16,335
2024-01-01,E,17,356
2024-01-01,E,18,270
2024-01-01,E,19,321
2024-01-01,E,20,196
2024-01-01,E,21,174
2024-01-01,E,22,203
2024-01-01,F,6,175
2024-01-01,F,7,414
2024-01-01,F,8,334
2024-01-01,F,9,391
2024-01-01,F,10,133
2024-01-01,F,11,193
2024-01-01,F,12,200
2024-01-01,F,13,192
2024-01-01,F,14,184
2024-01-01,F,15,173
2024-01-01,F,16,350
2024-01-01,F,17,359
2024-01-01,F,18,316
2024-01-01,F,19,276
2024-01-01,F,20,271
2024-01-01,F,21,164
2024-01-01,F,22,141
2024-01-02,A,6,119
2024-01-02,A,7,363
2024-01-02,A,8,351
2024-01-02,A,9,401
2024-01-02,A,10,224
2024-01-02,A,11,211
2024-01-02,A,12,189
2024-01-02,A,13,244
2024-01-02,A,14,274
2024-01-02,A,15,240
2024-01-02,A,16,301
2024-01-02,A,17,351
2024-01-02,A,18,303
2024-01-02,A,19,275
2024-01-02,A,20,164
2024-01-02,A,21,185
2024-01-02,A,22,204
2024-01-02,B,6,282
2024-01-02,B,7,324
2024-01-02,B,8,412
2024-01-02,B,9,347
2024-01-02,B,10,119
2024-01-02,B,11,179
2024-01-02,B,12,247
2024-01-02,B,13,213
2024-01-02,B,14,216
2024-01-02,B,15,253
2024-01-02,B,16,278
2024-01-02,B,17,277
2024-01-02,B,18,229
2024-01-02,B,19,355
2024-01-02,B,20,222
2024-01-02,B,21,228
2024-01-02,B,22,152
2024-01-02,C,6,135
2024-01-02,C,7,307
2024-01-02,C,8,323
2024-01-02,C,9,422
2024-01-02,C,10,240
2024-01-02,C,11,181
2024-01-02,C,12,211
2024-01-02,C,13,172
2024-01-02,C,14,214
2024-01-02,C,15,154
2024-01-02,C,16,350
2024-01-02,C,17,286
2024-01-02,C,18,352
2024-01-02,C,19,302
2024-01-02,C,20,168
2024-01-02,C,21,264
2024-01-02,C,22,207
2024-01-02,D,6,187
