date,terminal,hour,wait_time_minutes
2024-01-01,A,6,11.0
2024-01-01,A,7,50.9
2024-01-01,A,8,39.2
2024-01-01,A,9,53.5
2024-01-01,A,10,19.4
2024-01-01,A,11,14.7
2024-01-01,A,12,9.1
2024-01-01,A,13,14.9
2024-01-01,A,14,14.7
2024-01-01,A,15,19.0
2024-01-01,A,16,19.5
2024-01-01,A,17,34.8
2024-01-01,A,18,37.8
2024-01-01,A,19,45.3
2024-01-01,A,20,19.7
2024-01-01,A,21,13.8
2024-01-01,A,22,13.6
2024-01-01,B,6,16.6
2024-01-01,B,7,51.4
2024-01-01,B,8,34.9
2024-01-01,B,9,34.5
2024-01-01,B,10,10.6
2024-01-01,B,11,16.5
2024-01-01,B,12,20.3
2024-01-01,B,13,13.0
2024-01-01,B,14,16.7
2024-01-01,B,15,12.2
2024-01-01,B,16,34.2
2024-01-01,B,17,35.2
2024-01-01,B,18,36.1
2024-01-01,B,19,45.3
2024-01-01,B,20,9.2
2024-01-01,B,21,13.9
2024-01-01,B,22,21.1
2024-01-01,C,6,14.0
2024-01-01,C,7,38.8
2024-01-01,C,8,32.8
2024-01-01,C,9,33.5
2024-01-01,C,10,23.1
2024-01-01,C,11,16.4
2024-01-01,C,12,17.7
2024-01-01,C,13,12.9
2024-01-01,C,14,16.4
2024-01-01,C,15,15.3
2024-01-01,C,16,30.8
2024-01-01,C,17,51.7
2024-01-01,C,18,42.6
2024-01-01,C,19,37.9
2024-01-01,C,20,14.2
2024-01-01,C,21,18.9
2024-01-01,C,22,15.4
2024-01-01,D,6,21.2
2024-01-01,D,7,54.4
2024-01-01,D,8,37.8
2024-01-01,D,9,31.5
2024-01-01,D,10,20.3
2024-01-01,D,11,19.1
2024-01-01,D,12,19.7
2024-01-01,D,13,13.2
2024-01-01,D,14,14.8
2024-01-01,D,15,17.3
2024-01-01,D,16,41.4
2024-01-01,D,17,28.3
2024-01-01,D,18,49.2
2024-01-01,D,19,44.7
2024-01-01,D,20,19.0
2024-01-01,D,21,15.1
2024-01-01,D,22,16.3
2024-01-01,E,6,20.1
2024-01-01,E,7,52.2
2024-01-01,E,8,58.0
2024-01-01,E,9,39.3
2024-01-01,E,10,19.9
2024-01-01,E,11,21.7
2024-01-01,E,12,14.0
2024-01-01,E,13,22.2
2024-01-01,E,14,21.8
2024-01-01,E,15,10.2
2024-01-01,E,16,37.4
2024-01-01,E,17,36.0
2024-01-01,E,18,26.9
2024-01-01,E,19,28.2
2024-01-01,E,20,14.4
2024-01-01,E,21,13.6
2024-01-01,E,22,16.7
2024-01-01,F,6,14.0
2024-01-01,F,7,53.7
2024-01-01,F,8,32.4
2024-01-01,F,9,31.0
2024-01-01,F,10,11.5
2024-01-01,F,11,15.3
2024-01-01,F,12,15.8
2024-01-01,F,13,13.7
2024-01-01,F,14,16.7
2024-01-01,F,15,13.0
2024-01-01,F,16,34.0
2024-01-01,F,17,50.3
2024-01-01,F,18,39.1
2024-01-01,F,19,30.7
2024-01-01,F,20,13.7
2024-01-01,F,21,12.7
2024-01-01,F,22,11.2
2024-01-02,A,6,11.6
2024-01-02,A,7,30.0
2024-01-02,A,8,48.5
2024-01-02,A,9,47.9
2024-01-02,A,10,14.7
2024-01-02,A,11,19.2
2024-01-02,A,12,14.6
2024-01-02,A,13,14.7
2024-01-02,A,14,20.5
2024-01-02,A,15,19.9
2024-01-02,A,16,34.0
2024-01-02,A,17,43.1
2024-01-02,A,18,39.5
2024-01-02,A,19,25.7
2024-01-02,A,20,13.1
2024-01-02,A,21,13.4
2024-01-02,A,22,13.3
2024-01-02,B,6,22.4
2024-01-02,B,7,38.6
2024-01-02,B,8,49.5
2024-01-02,B,9,36.6
2024-01-02,B,10,8.1
2024-01-02,B,11,12.9
2024-01-02,B,12,14.2
2024-01-02,B,13,14.0
2024-01-02,B,14,14.4
2024-01-02,B,15,22.8
2024-01-02,B,16,35.1
2024-01-02,B,17,40.9
2024-01-02,B,18,26.6
2024-01-02,B,19,36.9
2024-01-02,B,20,17.8
2024-01-02,B,21,17.8
2024-01-02,B,22,11.0
2024-01-02,C,6,11.3
2024-01-02,C,7,35.4
2024-01-02,C,8,35.7
2024-01-02,C,9,45.2
2024-01-02,C,10,21.0
2024-01-02,C,11,13.3
2024-01-02,C,12,15.9
2024-01-02,C,13,14.7
2024-01-02,C,14,19.7
2024-01-02,C,15,14.0
2024-01-02,C,16,37.7
2024-01-02,C,17,26.0
2024-01-02,C,18,37.7
2024-01-02,C,19,34.2
2024-01-02,C,20,11.2
2024-01-02,C,21,20.1
2024-01-02,C,22,19.6
2024-01-02,D,6,15.3
2024-01-02,D,7,40.1
2024-01-02,D,8,34.4
2024-01-02,D,9,45.8
2024-01-02,D,10,14.7
2024-01-02,D,11,20.0
2024-01-02,D,12,8.0
2024-01-02,D,13,15.8
2024-01-02,D,14,14.6
2024-01-02,D,15,22.3
2024-01-02,D,16,31.4
2024-01-02,D,17,38.8
2024-01-02,D,18,32.8
2024-01-02,D,19,43.4
2024-01-02,D,20,14.3
2024-01-02,D,21,17.5
2024-01-02,D,22,9.6
2024-01-02,E,6,13.4
2024-01-02,E,7,39.3
2024-01-02,E,8,38.1
2024-01-02,E,9,48.2
2024-01-02,E,10,10.5
2024-01-02,E,11,17.3
2024-01-02,E,12,15.8
